 
****************************************
Report : cell
Design : mem_system
Version: B-2008.09-SP3
Date   : Wed Apr 20 23:00:45 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
SM_Flops[0]               dff_218                         14.548300 h, n
U451                      INVX1           gscl45nm        1.407900  
U452                      INVX1           gscl45nm        1.407900  
U453                      AND2X2          gscl45nm        2.815800  
U454                      INVX1           gscl45nm        1.407900  
U455                      INVX1           gscl45nm        1.407900  
U456                      AND2X1          gscl45nm        2.346500  
U457                      INVX1           gscl45nm        1.407900  
U458                      AND2X1          gscl45nm        2.346500  
U459                      INVX1           gscl45nm        1.407900  
U460                      INVX1           gscl45nm        1.407900  
U461                      INVX1           gscl45nm        1.407900  
U462                      INVX1           gscl45nm        1.407900  
U463                      AND2X2          gscl45nm        2.815800  
U464                      INVX1           gscl45nm        1.407900  
U465                      AND2X1          gscl45nm        2.346500  
U466                      INVX1           gscl45nm        1.407900  
U467                      OR2X2           gscl45nm        2.815800  
U468                      INVX1           gscl45nm        1.407900  
U469                      INVX1           gscl45nm        1.407900  
U470                      AND2X1          gscl45nm        2.346500  
U471                      INVX1           gscl45nm        1.407900  
U472                      INVX1           gscl45nm        1.407900  
U473                      INVX1           gscl45nm        1.407900  
U474                      INVX1           gscl45nm        1.407900  
U475                      INVX1           gscl45nm        1.407900  
U476                      INVX1           gscl45nm        1.407900  
U477                      INVX1           gscl45nm        1.407900  
U478                      INVX1           gscl45nm        1.407900  
U479                      INVX1           gscl45nm        1.407900  
U480                      INVX1           gscl45nm        1.407900  
U481                      INVX1           gscl45nm        1.407900  
U482                      INVX1           gscl45nm        1.407900  
U483                      INVX1           gscl45nm        1.407900  
U484                      INVX1           gscl45nm        1.407900  
U485                      INVX1           gscl45nm        1.407900  
U486                      INVX1           gscl45nm        1.407900  
U487                      INVX1           gscl45nm        1.407900  
U488                      AND2X2          gscl45nm        2.815800  
U489                      INVX1           gscl45nm        1.407900  
U490                      AND2X2          gscl45nm        2.815800  
U491                      INVX1           gscl45nm        1.407900  
U492                      NAND3X1         gscl45nm        2.346500  
U493                      INVX1           gscl45nm        1.407900  
U494                      INVX2           gscl45nm        1.877200  
U495                      BUFX2           gscl45nm        2.346500  
U496                      INVX1           gscl45nm        1.407900  
U497                      INVX1           gscl45nm        1.407900  
U498                      INVX1           gscl45nm        1.407900  
U499                      INVX1           gscl45nm        1.407900  
U500                      INVX1           gscl45nm        1.407900  
U501                      INVX1           gscl45nm        1.407900  
U502                      INVX1           gscl45nm        1.407900  
U503                      BUFX2           gscl45nm        2.346500  
U504                      INVX1           gscl45nm        1.407900  
U505                      INVX1           gscl45nm        1.407900  
U506                      INVX1           gscl45nm        1.407900  
U507                      NOR3X1          gscl45nm        2.815800  
U508                      INVX8           gscl45nm        3.285100  
U509                      INVX1           gscl45nm        1.407900  
U510                      INVX1           gscl45nm        1.407900  
U511                      INVX1           gscl45nm        1.407900  
U512                      INVX1           gscl45nm        1.407900  
U513                      INVX1           gscl45nm        1.407900  
U514                      INVX1           gscl45nm        1.407900  
U515                      AND2X2          gscl45nm        2.815800  
U516                      INVX1           gscl45nm        1.407900  
U517                      INVX1           gscl45nm        1.407900  
U518                      AND2X2          gscl45nm        2.815800  
U519                      INVX1           gscl45nm        1.407900  
U520                      INVX8           gscl45nm        3.285100  
U521                      INVX8           gscl45nm        3.285100  
U522                      INVX8           gscl45nm        3.285100  
U523                      INVX8           gscl45nm        3.285100  
U524                      INVX8           gscl45nm        3.285100  
U525                      NAND3X1         gscl45nm        2.346500  
U526                      NAND2X1         gscl45nm        1.877200  
U527                      MUX2X1          gscl45nm        3.754400  
U528                      NOR2X1          gscl45nm        2.346500  
U529                      NAND3X1         gscl45nm        2.346500  
U530                      NAND3X1         gscl45nm        2.346500  
U531                      NAND3X1         gscl45nm        2.346500  
U532                      NAND2X1         gscl45nm        1.877200  
U533                      OAI21X1         gscl45nm        2.815800  
U534                      NOR3X1          gscl45nm        2.815800  
U535                      AOI21X1         gscl45nm        2.815800  
U536                      NOR3X1          gscl45nm        2.815800  
U537                      NAND3X1         gscl45nm        2.346500  
U538                      NAND3X1         gscl45nm        2.346500  
U539                      MUX2X1          gscl45nm        3.754400  
U540                      OAI21X1         gscl45nm        2.815800  
U541                      NAND3X1         gscl45nm        2.346500  
U542                      NOR3X1          gscl45nm        2.815800  
U543                      NAND3X1         gscl45nm        2.346500  
U544                      NAND3X1         gscl45nm        2.346500  
U545                      OAI21X1         gscl45nm        2.815800  
U546                      OAI21X1         gscl45nm        2.815800  
U547                      OAI21X1         gscl45nm        2.815800  
U548                      NOR3X1          gscl45nm        2.815800  
U549                      MUX2X1          gscl45nm        3.754400  
U550                      NAND3X1         gscl45nm        2.346500  
cache                     cache2way_mem_type0             101642.869674
                                                                    h, n, p
mem                       four_bank_mem                   21416.974408
                                                                    h, n
--------------------------------------------------------------------------------
Total 399 cells                                           123879.241864
1
