SIMLOG:: Cycle         121 PC:     013a I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         122 PC:     013c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         123 PC:     013e I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         124 PC:     0140 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         125 PC:     0142 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         126 PC:     0144 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         127 PC:     0146 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         128 PC:     0148 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         129 PC:     014a I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         130 PC:     014c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         131 PC:     014e I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         132 PC:     0150 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         133 PC:     0152 I:     7c18 R: 0   0     0c85 M: 0 0     0c85     d4f9
SIMLOG:: Cycle         134 PC:     016c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         135 PC:     016e I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         136 PC:     0170 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         137 PC:     0172 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         138 PC:     0174 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         139 PC:     0176 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         140 PC:     0178 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         141 PC:     017a I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         142 PC:     017c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         143 PC:     017e I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         144 PC:     0180 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         145 PC:     0182 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         146 PC:     0184 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         147 PC:     0186 I:     7f10 R: 0   0     50f3 M: 0 0     50f3     d4f9
SIMLOG:: Cycle         148 PC:     0198 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         149 PC:     019a I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         150 PC:     019c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         151 PC:     019e I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         152 PC:     01a0 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         153 PC:     01a2 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         154 PC:     01a4 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         155 PC:     01a6 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         156 PC:     01a8 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         157 PC:     01aa I:     7e10 R: 0   0     0ec3 M: 0 0     0ec3     d4f9
SIMLOG:: Cycle         158 PC:     01bc I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         159 PC:     01be I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         160 PC:     01c0 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         161 PC:     01c2 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         162 PC:     01c4 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         163 PC:     01c6 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         164 PC:     01c8 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         165 PC:     01ca I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         166 PC:     01cc I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         167 PC:     01ce I:     7e18 R: 0   0     c30e M: 0 0     c30e     d4f9
SIMLOG:: Cycle         168 PC:     01d0 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         169 PC:     01d2 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         170 PC:     01d4 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         171 PC:     01d6 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         172 PC:     01d8 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         173 PC:     01da I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         174 PC:     01dc I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         175 PC:     01de I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         176 PC:     01e0 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         177 PC:     01e2 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         178 PC:     01e4 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         179 PC:     01e6 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         180 PC:     01e8 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         181 PC:     01ea I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         182 PC:     01ec I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         183 PC:     01ee I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         184 PC:     01f0 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         185 PC:     01f2 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         186 PC:     01f4 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         187 PC:     01f6 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         188 PC:     01f8 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         189 PC:     01fa I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         190 PC:     01fc I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         191 PC:     01fe I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         192 PC:     0200 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         193 PC:     0202 I:     7908 R: 0   0     0000 M: 0 0     0000     d4f9
SIMLOG:: Cycle         194 PC:     020c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         195 PC:     020e I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         196 PC:     0210 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         197 PC:     0212 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle         198 PC:     0214 I:     0000 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Processor halted

SIMLOG:: sim_cycles         198

SIMLOG:: inst_count         195

